name,code,link,manager
国泰研究优势混合,009804,http://fundf10.eastmoney.com/009804.html,徐治彪
国泰蓝筹精选混合C,008175,http://fundf10.eastmoney.com/008175.html,李恒
国泰金龙行业混合,020003,http://fundf10.eastmoney.com/020003.html,杨飞
国泰价值经典混合(LOF),160215,http://fundf10.eastmoney.com/160215.html,徐治彪
国泰金鹰增长混合,020001,http://fundf10.eastmoney.com/020001.html,徐治彪
国泰金马稳健混合,020005,http://fundf10.eastmoney.com/020005.html,李恒
国泰量化成长优选混合A,005095,http://fundf10.eastmoney.com/005095.html,艾小军
国泰量化成长优选混合C,005096,http://fundf10.eastmoney.com/005096.html,艾小军
国泰宏益一年持有期混合A,009481,http://fundf10.eastmoney.com/009481.html,樊利安
国泰宏益一年持有期混合C,009482,http://fundf10.eastmoney.com/009482.html,樊利安
国泰区位优势混合,020015,http://fundf10.eastmoney.com/020015.html,饶玉涵
国泰金泰灵活配置混合A,519020,http://fundf10.eastmoney.com/519020.html,李海
国泰量化策略收益混合,000199,http://fundf10.eastmoney.com/000199.html,高崇南
国泰金泰灵活配置混合C,519022,http://fundf10.eastmoney.com/519022.html,李海
国泰兴益灵活配置混合A,001265,http://fundf10.eastmoney.com/001265.html,王琳
国泰兴益灵活配置混合C,002055,http://fundf10.eastmoney.com/002055.html,王琳
国泰融丰外延增长混合(LOF),501017,http://fundf10.eastmoney.com/501017.html,樊利安
国泰量化收益灵活配置混合,001789,http://fundf10.eastmoney.com/001789.html,梁杏
国泰普益混合A,003754,http://fundf10.eastmoney.com/003754.html,王琳
国泰融信(LOF),501027,http://fundf10.eastmoney.com/501027.html,戴计辉
国泰普益混合C,003755,http://fundf10.eastmoney.com/003755.html,王琳
国泰估值优势混合(LOF),160212,http://fundf10.eastmoney.com/160212.html,杨飞
国泰民福策略价值混合,002489,http://fundf10.eastmoney.com/002489.html,戴计辉
国泰国策驱动灵活配置混合A,000511,http://fundf10.eastmoney.com/000511.html,戴计辉
国泰国策驱动灵活配置混合C,002062,http://fundf10.eastmoney.com/002062.html,戴计辉
国泰睿吉灵活配置混合A,000953,http://fundf10.eastmoney.com/000953.html,戴计辉
国泰鑫策略价值混合,002197,http://fundf10.eastmoney.com/002197.html,王琳
国泰睿吉灵活配置混合C,000954,http://fundf10.eastmoney.com/000954.html,戴计辉
国泰民利策略收益混合,002458,http://fundf10.eastmoney.com/002458.html,戴计辉
国泰民益混合(LOF)A,160220,http://fundf10.eastmoney.com/160220.html,樊利安
国泰民益混合(LOF)C,160226,http://fundf10.eastmoney.com/160226.html,樊利安
国泰浩益18个月封闭运作混合A,009691,http://fundf10.eastmoney.com/009691.html,樊利安
国泰浓益灵活配置混合A,000526,http://fundf10.eastmoney.com/000526.html,樊利安
国泰浓益灵活配置混合C,002059,http://fundf10.eastmoney.com/002059.html,樊利安
国泰浩益18个月封闭运作混合C,009692,http://fundf10.eastmoney.com/009692.html,樊利安
国泰多策略收益混合,001922,http://fundf10.eastmoney.com/001922.html,王琳
国泰金鼎价值混合,519021,http://fundf10.eastmoney.com/519021.html,饶玉涵
国泰民安养老2040(FOF),007231,http://fundf10.eastmoney.com/007231.html,周珞晏
国泰安康定期支付混合A,000367,http://fundf10.eastmoney.com/000367.html,王琳
国泰安康定期支付混合C,002061,http://fundf10.eastmoney.com/002061.html,王琳
国泰安益灵活配置混合A,001850,http://fundf10.eastmoney.com/001850.html,王琳
国泰安益灵活配置混合C,004252,http://fundf10.eastmoney.com/004252.html,王琳
国泰民丰回报定开混合,003955,http://fundf10.eastmoney.com/003955.html,戴计辉
国泰策略价值灵活配置混合,020022,http://fundf10.eastmoney.com/020022.html,艾小军
国泰价值精选灵活配置混合A,005726,http://fundf10.eastmoney.com/005726.html,王阳
国泰鑫利一年持有期混合A,008666,http://fundf10.eastmoney.com/008666.html,程洲
国泰成长优选混合,020026,http://fundf10.eastmoney.com/020026.html,申坤
国泰大制造两年持有期混合,008415,http://fundf10.eastmoney.com/008415.html,程洲
国泰鑫利一年持有期混合C,008667,http://fundf10.eastmoney.com/008667.html,程洲
国泰优势行业混合,005819,http://fundf10.eastmoney.com/005819.html,彭凌志
国泰民泽平衡养老FOF,008631,http://fundf10.eastmoney.com/008631.html,徐皓
国泰中小盘成长混合(LOF),160211,http://fundf10.eastmoney.com/160211.html,杨飞
国泰聚利价值定开混合,005746,http://fundf10.eastmoney.com/005746.html,程洲
国泰新经济灵活配置混合,000742,http://fundf10.eastmoney.com/000742.html,彭凌志
国泰融安多策略灵活配置混合,003516,http://fundf10.eastmoney.com/003516.html,林小聪
国泰事件驱动策略混合,020023,http://fundf10.eastmoney.com/020023.html,林小聪
国泰鑫睿混合,007835,http://fundf10.eastmoney.com/007835.html,程洲
国泰金牛创新成长混合,020010,http://fundf10.eastmoney.com/020010.html,程洲
国泰民裕进取灵活配置混合,006354,http://fundf10.eastmoney.com/006354.html,饶玉涵
国泰聚信价值优势混合A,000362,http://fundf10.eastmoney.com/000362.html,程洲
国泰聚信价值优势混合C,000363,http://fundf10.eastmoney.com/000363.html,程洲
国泰聚优价值灵活配置混合A,005244,http://fundf10.eastmoney.com/005244.html,程洲
国泰聚优价值灵活配置混合C,005245,http://fundf10.eastmoney.com/005245.html,程洲
国泰黄金ETF联接A,000218,http://fundf10.eastmoney.com/000218.html,艾小军
国泰黄金ETF联接C,004253,http://fundf10.eastmoney.com/004253.html,艾小军
国泰金福三个月定开混合,010446,http://fundf10.eastmoney.com/010446.html,李恒
国泰通利9个月持有期混合A,010830,http://fundf10.eastmoney.com/010830.html,程洲
国泰通利9个月持有期混合C,010831,http://fundf10.eastmoney.com/010831.html,程洲
国泰合益混合C,010833,http://fundf10.eastmoney.com/010833.html,戴计辉
国泰合益混合A,010832,http://fundf10.eastmoney.com/010832.html,戴计辉
国泰江源优势精选混合C,011325,http://fundf10.eastmoney.com/011325.html,郑有为
国泰价值精选灵活配置混合C,011324,http://fundf10.eastmoney.com/011324.html,王阳
长信沪深300指数增强A,005137,http://fundf10.eastmoney.com/005137.html,宋海岸
长信沪深300指数增强C,007448,http://fundf10.eastmoney.com/007448.html,宋海岸
长信量化多策略股票A,519965,http://fundf10.eastmoney.com/519965.html,左金保
长信量化多策略股票C,004858,http://fundf10.eastmoney.com/004858.html,左金保
长信消费精选量化股票,004805,http://fundf10.eastmoney.com/004805.html,左金保
长信低碳环保行业量化股票,004925,http://fundf10.eastmoney.com/004925.html,左金保
长信量化中小盘股票,519975,http://fundf10.eastmoney.com/519975.html,左金保
长信中证500指数增强,004945,http://fundf10.eastmoney.com/004945.html,宋海岸
长信创新驱动股票,519935,http://fundf10.eastmoney.com/519935.html,祝昱丰
长信价值优选混合,501002,http://fundf10.eastmoney.com/501002.html,吴晖
长信银利精选混合,519997,http://fundf10.eastmoney.com/519997.html,许望伟
长信医疗保健混合(LOF),163001,http://fundf10.eastmoney.com/163001.html,左金保
长信双利优选混合A,519991,http://fundf10.eastmoney.com/519991.html,祝昱丰
长信双利优选混合E,006396,http://fundf10.eastmoney.com/006396.html,祝昱丰
长信企业精选定开混合,005589,http://fundf10.eastmoney.com/005589.html,叶松
长信稳健精选混合A,009606,http://fundf10.eastmoney.com/009606.html,李家春
长信稳健精选混合C,009607,http://fundf10.eastmoney.com/009607.html,李家春
长信利广混合A,519961,http://fundf10.eastmoney.com/519961.html,李家春
长信利盈混合A,519963,http://fundf10.eastmoney.com/519963.html,李家春
长信利广混合C,519960,http://fundf10.eastmoney.com/519960.html,李家春
长信利盈混合C,519962,http://fundf10.eastmoney.com/519962.html,李家春
长信量化价值驱动混合A,005399,http://fundf10.eastmoney.com/005399.html,左金保
长信量化价值驱动混合C,009669,http://fundf10.eastmoney.com/009669.html,左金保
长信易进混合A,003126,http://fundf10.eastmoney.com/003126.html,陆莹
长信易进混合C,003127,http://fundf10.eastmoney.com/003127.html,陆莹
长信合利混合A,005305,http://fundf10.eastmoney.com/005305.html,黄韵
长信价值蓝筹两年定开A,005392,http://fundf10.eastmoney.com/005392.html,吴廷华
长信合利混合C,005306,http://fundf10.eastmoney.com/005306.html,黄韵
长信价值蓝筹两年定开C,009911,http://fundf10.eastmoney.com/009911.html,吴廷华
长信多利混合,519959,http://fundf10.eastmoney.com/519959.html,黄韵
长信先锐混合A,519937,http://fundf10.eastmoney.com/519937.html,吴晖
长信量化先锋混合A,519983,http://fundf10.eastmoney.com/519983.html,左金保
长信先锐混合C,008918,http://fundf10.eastmoney.com/008918.html,吴晖
